store_id,store_name,restaurant_type,city
b0up,Pitza,Pizza,Dhaka
emg6,Burger Bash,Burgers,Dhaka
f853,Mirpur,NA,Dhaka
g73b,Soi 71,Thai,Dhaka
j4hj,Thafi Cafe,Fast Food,Dhaka
kazs,Kwik,Pizza,Dhaka
ky3r,Dfc,SNAcks,Dhaka
a00c,Dragon Town,Chinese,Dhaka
a02g,Mahi'S Kitchen,Bangladeshi,Dhaka
r6e6,Resto,SNAcks,Dhaka
s2eb,Khatir,Asian,Dhaka
se8l,Cakery,Cakes,Dhaka
t7gw,Hansa,SNAcks,Dhaka
u1md,Bfc,SNAcks,Brahmanbaria
vk0d,Abc,Beverage,Dhaka
xrxm,Baburchi,NA,Dhaka
yr7t,Meze,Kebab,Dhaka
a04n,Tehari & Polao Ghor,Biryani,Dhaka
a05i,Pandago Ob,Bangladeshi,Chandpur
a064,Cliqnpay,Bangladeshi,Dhaka
a0e2,Turkey Kebab & Sea Food,Kebab,Dhaka
a0f6,Haji Biryani House,Biryani,Chittagong
a0fl,New Haji Sweets And Hotel,Dessert,Dhaka
a0gn,Noor Kacchi House,Biryani,Khulna
a0ka,Lake View Cafe & Bakery,Bakery,Satkhira
a0to,Cafe Exile,Fast Food,Dhaka
a0vv,Pizza Club Savar,Pizza,Savar
a124,Cut The Carb,NA,Dhaka
a153,Formosa Qq,Cafe,Dhaka
a162,Steak City Bangladesh,Fast Food,Dhaka
a1f6,Luqma Restaurant,Fast Food,Sylhet
a1jj,Chinese Palace,Chinese,Khulna
a1s1,Gosto Ruti,Bangladeshi,Dhaka
a1vg,Traditional Taste,Bangladeshi,Dhaka
a1xo,Muna'S Kitchen,Bangladeshi,Gazipur
a22f,Al Arabian Cake & Sweets,Dessert,Dhaka
a22t,Madol Khabar Ghor,Bangladeshi,Dhaka
a24c,Oli'S Food,Fast Food,Comilla
a28k,Pimentos,Bangladeshi,Dhaka
a28o,Asian Frozen Delights,Fast Food,Chittagong
a2al,Dhakaiya Fuchka,Chotpoti & Fuchka,Dhaka
a2dp,Once More,Chinese,Dhaka
a2ee,King'S Confectionery,Cakes,Sylhet
a2mm,Mama Bhagina Chotpoti & Fuchka,SNAcks,Sirajganj
a2s0,Daily Kebab,Kebab,Chittagong
cdtc,Sam'S,Fast Food,Chittagong
blb4,Famma,SNAcks,Dhaka
i6zw,Q,Fast Food,Sylhet
jad1,LEto,Cakes,Dhaka
mhz4,B,Fast Food,Khulna
o4u7,Q,Chicken,Sylhet
q6eu,Hungry Kitchen,Asian,Dhaka
t3gi,Dilshad,Dessert,Dinajpur
t7tu,Hot Hut,NA,Dhaka
uhmv,Ciao,Pizza,Dhaka
we9i,Doi Ghar,Doi,Dhaka
ww27,Chillox,Bangladeshi,Dhaka
ymmy,Deliz,Cafe,Dhaka
yw95,Helium,Fast Food,Bogra
zd60,Food Burg,Cafe,Narsingdi
a2we,Waffle O'Clock Basundhara,Dessert,Dhaka
a2y0,Well Gang Dhanmondi,Burgers,Dhaka
a2zh,Chef'S Kitchen,SNAcks,Sylhet
a312,Ghoroa Khabar,SNAcks,Comilla
a38j,Eat & Treat Restaurant & Party Center,Chinese,Sirajganj
a3ak,Ektu Shukh Hotel & Restaurant,Bangladeshi,Rajshahi
a3cp,Grammo Ponno,Dessert,Chittagong
a3pq,Jfc Restaurant & Convention Center,Chinese,Jamalpur
a3vg,Soup World,Soups,Dhaka
a46e,Cafe Bongo,Fast Food,Dhaka
a4bv,Fryciti,Fast Food,Dhaka
a4f4,Halal Foods Corner,Rice Dishes,Dhaka
a4he,Kona Fuchka House,Chotpoti & Fuchka,Rangpur
a4ig,Ayesha Kitchen (Panda Go),Healthy,Chittagong
a4ol,The Table Kitchen,Fast Food,Chittagong
a4wd,Peshawari,Bangladeshi,Mymensingh
a4y3,Habit Lounge,Bangladeshi,Dhaka
a5bv,Luna'S Cooking And Dining,Cafe,Rangpur
a5g5,Waffle Hub,Dessert,Faridpur
a5pq,Dhaka Haji Biryani House,Biryani,Gopalganj
a5s7,Momo Fun,Dumpling,Dhaka
a61n,Aklas Puri House,Fast Food,Rajshahi
a67e,Five Star,Fast Food,Dhaka
a6bt,Mr. Pasta,Fast Food,Dhaka
a6em,Foodie Lover,SNAcks,Dhaka
a6es,The Down Town,SNAcks,Dhaka
a6i9,Momo'S Land,Chotpoti & Fuchka,Dhaka
a6jo,Dark Valley,Cafe,Khulna
a6mh,Daily Shopping,NA,Dhaka
a6xr,Reshma Home Made Kitchen,Bangladeshi,Munshiganj
a6zo,Yummy Pizza,Pizza,Dhaka
a6zz,The Baby,Bangladeshi,Dhaka
a751,Pizza Hut Bashabo,Pizza,Dhaka
a7be,Chunk,Fast Food,Dhaka
a7c9,Shokh Signature Cafe,Fast Food,Bogra
a7dy,Sister'S Kitchen,Bangladeshi,Dhaka
a7e9,Hot N Fast By 6Ix9,Fast Food,Dhaka
a7fe,Uncle Sam'S,Dessert,Dhaka
a7gs,Popy'S Kitchen,Bangladeshi,Dhaka
a7n6,Vegetarian Food,Vegetarian,Rangpur
a7yo,Mejbani Bhojon,Bangladeshi,Dhaka
a82e,Ice Cream Lab,Ice Cream,Dhaka
a84a,Rush,SNAcks,Dhaka
a89d,Food Yami Pandago,Fast Food,Bagerhat
a8cr,Sb Kitchen,Bangladeshi,Sylhet
a8iz,Love Triangle,SNAcks,Dhaka
a8kg,Arax,Middle Eastern,Dhaka
a8no,Wrapper,Wraps,Dhaka
a8th,Kfc Mymensingh,Fried Chicken,Mymensingh
a8zy,The Burger Club,Burgers,Dhaka
a926,Shop I Hut Fashion,Bangladeshi,Gazipur
a95u,Momo'S & More,Dumpling,Dhaka
a96q,Sadiya'S Home Kitchen,Bangladeshi,Dhaka
a9bj,Bfc Fast Food,Fast Food,Rajshahi
a9gu,Burger Zone,Fast Food,Faridpur
a9ig,Kacchi Dine,Rice Dishes,Feni
a9kd,Dark House Cafe,Rice Dishes,Dhaka
a9ki,Petuk'S,Fast Food,Dhaka
a9vu,Cp Five Star,Chicken,Gazipur
a9yl,Sultanas Kitchen,SNAcks,Sylhet
aa34,Cravings Corner,SNAcks,Dhaka
aa7p,Nongor,Rice Dishes,Sylhet
aa98,Barcode Sweets,Sweets,Chittagong
aaby,Bangla Khabar,Bangladeshi,Barisal
aaii,East Bengal Coffee Roasters,Cafe,Dhaka
aau8,Bhagyakul Kacchi Ghor,Rice Dishes,Dhaka
aaua,Blueberry Restaurant & Party Center,SNAcks,Mymensingh
